Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting
CLI-CKORKMAZ,System,Uygulama Grubu Yînetimi,{0CCE9239-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Dißer Hesap Yînetimi Olaylarç,{0CCE923A-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Kullançcç Hesabç Yînetimi,{0CCE9235-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Dizin Hizmeti Eriüimi,{0CCE923B-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Dizin Hizmeti Deßiüiklikleri,{0CCE923C-69AE-11D9-BED3-505054503030},Success,
CLI-CKORKMAZ,System,Dizin Hizmeti Äoßaltma,{0CCE923D-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Ayrçntçlç Dizin Hizmeti Äoßaltma,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Kerberos Hizmeti Anahtar òülemleri,{0CCE9240-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Dißer Hesap Oturum Aáma Olaylarç,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Kerberos Kimlik Doßrulama Hizmeti,{0CCE9242-69AE-11D9-BED3-505054503030},No Auditing,
CLI-CKORKMAZ,System,Kimlik Bilgisi Doßrulama,{0CCE923F-69AE-11D9-BED3-505054503030},No Auditing,
